Congress,County,City,Proj_Type,Co_Sponsor,Men,Women,Total,Lat,Long,Dup_Code,Place,ID,Proj_Class
Second,Linn,Marion,Workshop,City,145,0,145,41.3144108,-93.1010141,0,Marion,45,Workshop
Second,Scott,Davenport,Workshop,County Board of Supervisors,50,0,50,41.5236436,-90.5776368,0,Davenport,46,Workshop
Second,Scott,Davenport,Sewing Room,County Board of Supervisors,0,104,104,41.5236436,-90.5776368,0,Davenport,47,Textiles
Second,Scott,Davenport,Clerical Assistance,State Employment Service,0,3,3,41.5236436,-90.5776368,0,Davenport,48,Clerical
Second,Scott,Davenport,Improving City Cemetery,City,64,0,64,41.5236436,-90.5776368,0,Davenport,49,Construction and Infrastructure
Second,Scott,Rock Island,NYA Workshop,United States Army,131,63,194,41.5094771,-90.5787477,0,Rock Island,50,Workshop
Third,Benton,Belle Plaine,Clerical Assistance,City,0,5,5,41.8967478,-92.2773184,0,Belle Plaine,51,Clerical
Third,Benton,Belle Plaine,Workshop,City,31,0,31,41.8967478,-92.2773184,0,Belle Plaine,52,Workshop
Third,Benton,Vinton,Sewing Room,City,0,19,19,42.1662438,-92.021343,0,Vinton,53,Textiles
Third,Black Hawk,Waterloo,Workshop,County,92,0,92,42.4979693,-92.3329637,0,Waterloo,56,Workshop
Third,Black Hawk,Waterloo,Reparing 9 Skating Rinks,City,15,0,15,42.4979693,-92.3329637,0,Waterloo,57,Construction and Infrastructure
Third,Black Hawk,Waterloo,Sewing Room,City,0,128,128,42.4979693,-92.3329637,0,Waterloo,58,Textiles
Third,Bremer,Waverly,Library Service,City,0,1,1,42.7258142,-92.4754626,0,Waverly,59,Education and Childcare
Third,Bremer,Waverly,Clerical Assistance,"State Employment Service, County Board of Supervisors, Farm Security Administration, County Agent",1,9,10,42.7258142,-92.4754626,0,Waverly,60,Clerical
Third,Butler,Allison,Rural Electrification Work,Butler County Co-operative,5,0,5,42.7527548,-92.7951945,0,Allison,61,Construction and Infrastructure
Third,Butler,Clarksville,Park Improvement,State Conservation Commission,11,0,11,42.7766355,-92.66791089,0,Clarksville,63,Construction and Infrastructure
Third,Butler,Parkersburg,Clerical Assistance,"State Employment Service, County Board of Supervisors, Farm Security Administration, County Agent",0,1,1,42.5740738,-92.7819013,0,Parkersburg,64,Clerical
Third,Franklin,Geneva,Library Service,Board of Education,0,2,2,42.6749401,-93.1303862,0,Geneva,65,Education and Childcare
Third,Franklin,Hampton,Rural Electrification Work,Federal Cooperative Power Association,10,0,10,42.7420086,-93.2022735,0,Hampton,66,Construction and Infrastructure
Third,Franklin,Hampton,Park Improvement,State Conservation Commission,30,0,30,42.7420086,-93.2022735,0,Hampton,67,Construction and Infrastructure
Third,Franklin,Hampton,Clerical Assistance,"State Employment Service, County Board of Supervisors, State Agriculture Extension Service",0,6,6,42.7420086,-93.2022735,0,Hampton,68,Clerical
Third,Hardin,Eldora,Workshop,City,72,0,72,42.360816,-93.0996464,0,Eldora,69,Workshop
Third,Hardin,Eldora,Constructing Stream Improvement Devices,State Conservation Commission,14,0,14,42.360816,-93.0996464,0,Eldora,70,Construction and Infrastructure
Third,Hardin,Eldora,Clerical Assistance,"City, County Farm Bureau, County Welfare Office, County Superintendent of Schools",0,6,6,42.360816,-93.0996464,0,Eldora,71,Clerical
Third,Hardin,Iowa Falls,Hospitial Assistance,City,0,8,8,42.5210019,-93.2636705,0,Iowa Falls,72,Health and Nutrition
Third,Marshall,Marshalltown,Park Improvement,City,49,0,49,42.0442545,-92.9123388,0,Marshalltown,73,Construction and Infrastructure
Third,Marshall,Marshalltown,Clerical Assistance,"State Employment Service, County Relief Office, Public Library, County Tresurer",1,8,9,42.0442545,-92.9123388,0,Marshalltown,74,Clerical
Third,Marshall,Marshalltown,Hospitial Assistance,Iowa Soldier's Home,0,4,4,42.0442545,-92.9123388,0,Marshalltown,75,Health and Nutrition
Third,Tama,Toledo,Workshop,County Board of Supervisors,44,0,44,41.9958519,-92.5790517,0,Toledo,76,Workshop
Third,Tama,Toledo,Clerical Assistance,"Farm Bureau, County Conservation Commission. Relief Office",0,6,6,41.9958519,-92.5790517,0,Toledo,77,Clerical
Third,Tama,Toledo,Resident Center for Girls,State Juvenile Home,0,20,20,41.9958519,-92.5790517,0,Toledo,78,Education and Childcare
Third,Wright,Dows,Library Service,Board of Education,0,1,1,42.6562699,-93.502601,0,Dows,80,Education and Childcare
Third,Wright,Eagle Grove,Workshop,City,44,0,44,42.664138,-93.9043905,0,Eagle Grove,81,Workshop
Third,Wright,Eagle Grove,Sewing Room,City,0,26,26,42.664138,-93.9043905,0,Eagle Grove,82,Textiles
Fourth,Allamakee,Waukon,Construction of Swimming Pool,City,31,0,31,43.2694208,-91.475695,0,Waukon,84,Construction and Infrastructure
Fourth,Allamakee,Waukon,Sewing Room,County Board of Supervisors,0,32,32,43.2694208,-91.475695,0,Waukon,85,Textiles
Fourth,Buchanan,Independence,Clerical Assistance,"State Employment Service, Farm Security Administration, County Board of Supervisors, R.E.A",0,10,10,42.4685978,-91.8893386,0,Independence,86,Clerical
Fourth,Buchanan,Independence,Rural Electrification Work,Rural Electrification Cooperative,14,0,14,42.4685978,-91.8893386,0,Independence,87,Construction and Infrastructure
Fourth,Cerro Gordo,Clear Lake,Recreational Leadership,City,27,1,28,43.1380915,-93.3792003,0,Clear Lake,88,Recreation
Fourth,Cerro Gordo,Mason City,Workshop,City,85,0,85,43.1535728,-93.2010367,0,Mason City,89,Workshop
Fourth,Cerro Gordo,Mason City,Sewing Room,"City, County Board of Supervisors",0,75,75,43.1535728,-93.2010367,0,Mason City,90,Textiles
Fourth,Cerro Gordo,Mason City,Library Service,Public Library,4,5,9,43.1535728,-93.2010367,0,Mason City,91,Education and Childcare
Fourth,Cerro Gordo,Mason City,Park Improvement,City,63,0,63,43.1535728,-93.2010367,0,Mason City,92,Construction and Infrastructure
Fourth,Cerro Gordo,Mason City,Clerical Assistance,"County Board of Supervisors, Farm Security Administration, County Farm Bureau, Board of Education, Selective Service Draft Board, Police Department, State Employment Service",1,29,30,43.1535728,-93.2010367,0,Mason City,93,Clerical
Fourth,Chickasaw,Fredericksburg,Reparing School Furniture,Board of Education,3,0,3,42.9652548,-92.1996196,0,Fredericksburg,94,Workshop
Fourth,Chickasaw,Lawler,Constructing Cement Drive,City,28,0,28,43.0705301,-92.1501723,0,Lawler,95,Construction and Infrastructure
Fourth,Chickasaw,Nashua,Library Service,"City, Public Library",0,1,1,42.9527536,-92.5362956,0,Nashua,96,Education and Childcare
Fourth,Chickasaw,New Hampton,Library Service,"City, Public Library",0,1,1,43.0591412,-92.3176768,0,New Hampton,97,Education and Childcare
Fourth,Clayton,Elkader,Constructing Baseball Diamond,City,15,0,15,42.8538346,-91.405381,0,Elkader,98,Construction and Infrastructure
Fourth,Clayton,Guttenberg,Improving Fish Hatchery,U.S. Fish Hatchery,33,16,49,42.7858231,-91.0995735,0,Guttenberg,100,Construction and Infrastructure
Fourth,Clayton,McGregor,Improving Pikes Peak State Park,State Conservation Commission,13,0,13,43.0184865,-91.1825165,0,McGregor,101,Construction and Infrastructure
Fourth,Delaware,Delhi,Repairing Educational Buildings,School Board,17,0,17,42.4297143,-91.3309789,0,Delhi,102,Construction and Infrastructure
Fourth,Delaware,Manchester,Conservation,County Board of Supervisors,24,0,24,42.484154,-91.4554252,0,Manchester,103,Conservation
Fourth,Delaware,Manchester,Clerical Assistance,"State Employment Service, County Board of Supervisors",0,13,13,42.484154,-91.4554252,0,Manchester,104,Clerical
Fourth,Fayette,Elgin,City Park Improvement,City,12,0,12,42.9574811,-91.6307065,0,Elgin,105,Construction and Infrastructure
Fourth,Fayette,Maynard,Hot School Lunches,Public School,0,3,3,42.7738826,-91.8806147,0,Maynard,107,Health and Nutrition
Fourth,Fayette,Oelwein,Park Improvement,"City, Park Board",74,0,74,42.6733171,-91.9135036,0,Oelwein,108,Construction and Infrastructure
Fourth,Fayette,West Union,"Athletic Field Improvement, Improving School Grounds",School Board,15,0,15,42.9627837,-91.808219,0,West Union,109,Construction and Infrastructure
Fourth,Floyd,Charles City,Sewing Room,County Board of Supervisors,0,41,41,43.0663613,-92.6724112,0,Charles City,110,Textiles
Fourth,Floyd,Charles City,Constructing Athletic Field,Board of Education,30,0,30,43.0663613,-92.6724112,0,Charles City,111,Construction and Infrastructure
Fourth,Floyd,Charles City,Nursery School,Board of Education,0,1,1,43.0663613,-92.6724112,0,Charles City,112,Education and Childcare
Fourth,Floyd,Charles City,Clerical Assistance,"State Employment Service, Farm Security Administration, County Board of Supervisors, Farm Bureau, State Highway Commission, County Superintendent of Schools",1,9,10,43.0663613,-92.6724112,0,Charles City,113,Clerical
Fourth,Floyd,Charles City,Recreational Leadership,"Board of Education, City",19,0,19,43.0663613,-92.6724112,0,Charles City,114,Recreation
Fourth,Floyd,Charles City,Hospital Assistance,Cedar Valley Hospital,0,1,1,43.0663613,-92.6724112,0,Charles City,115,Health and Nutrition
Fourth,Floyd,Charles City,Workshop,Board of Education,17,0,17,43.0663613,-92.6724112,0,Charles City,116,Workshop
Fourth,Howard,Cresco,Rural Electrification Work,County Electric Cooperative,8,5,13,43.3813568,-92.1140547,0,Cresco,118,Construction and Infrastructure
Fourth,Howard,Cresco,Clerical Assistance,County Board of Supervisors,0,9,9,43.3813568,-92.1140547,0,Cresco,119,Clerical
Fourth,Mitchell,Osage,Clerical Assistance,"State Employment Service, State Agriculture Extension Service, County Board of Supervisors",2,3,5,43.284081,-92.8111624,0,Osage,120,Clerical
Fourth,Mitchell,Osage,Library Service,"Board of Supervisors, Board of Education",2,4,6,43.284081,-92.8111624,0,Osage,121,Education and Childcare
Fourth,Mitchell,St. Ansgar,Rural Electrification Work,Mitchell County R.E.A,12,0,12,43.3783006,-92.9188065,0,St. Ansgar,122,Construction and Infrastructure
Fourth,Winneshiek,Decorah,Park Improvement,County,45,0,45,43.3041609,-91.7859098,0,Decorah,123,Construction and Infrastructure
Fourth,Worth,Northwood,Clerical Assistance,"Agriculture Extension Service, County Board of Supervisors",4,0,4,43.4441245,-93.2210371,0,Northwood,125,Clerical
Fifth,Appanoose,Centerville,Sanitation (Constructing Latrine,Farm Security Administration,19,0,19,40.7341804,-92.8740876,0,Centerville,126,Construction and Infrastructure
Fifth,Appanoose,Centerville,Workshop,County Board of Supervisors,67,0,67,40.7341804,-92.8740876,0,Centerville,127,Workshop
Fifth,Appanoose,Centerville,Sewing Room,County Board of Supervisors,0,62,62,40.7341804,-92.8740876,0,Centerville,128,Textiles
Fifth,Appanoose,Centerville,Clerical Assistance,"State Employment Service, Farm Security Administration, County Agent, Department of Health, Probation Officer",1,12,13,40.7341804,-92.8740876,0,Centerville,129,Clerical
Fifth,Appanoose,Centerville,Capping Wells (County-Wide Sanitation),Farm Security Administration,23,0,23,40.7341804,-92.8740876,0,Centerville,130,Construction and Infrastructure
Fifth,Appanoose,Cincinnati,Park Improvement,Conservation Commission,36,0,36,40.6308483,-92.9246459,0,Cincinnati,132,Construction and Infrastructure
Fifth,Clarke,Osceola,Clerical Assistance,"Farm Security Administration, County Agent, Department of Health, County Superintendent of Schools",1,13,14,43.3684613,-95.6299944,0,Osceola,134,Clerical
Fifth,Clarke,Woodburn,Sanitation (Constructing Latrine,Farm Security Adminstration,35,0,35,41.0119428,-93.5991047,0,Woodburn,135,Construction and Infrastructure
Fifth,Clarke,Woodburn,Capping Wells (Countywide sanitation,Farm Security Adminstration,44,2,46,41.0119428,-93.5991047,0,Woodburn,136,Construction and Infrastructure
Fifth,Davis,Bloomfield,Workshop,Board of Supervisors,54,12,66,40.7516884,-92.4149074,0,Bloomfield,137,Workshop
Fifth,Davis,Bloomfield,Clerical Assistance,"Farm Security Administration, Agriculture Ajustment Administration, County",0,7,7,40.7516884,-92.4149074,0,Bloomfield,138,Clerical
Fifth,Decatur,Grand River,Hot School Lunches,Boards of Education,0,3,3,40.8194405,-93.9624481,0,Grand River,139,Health and Nutrition
Fifth,Decatur,Lamoni,Hot School Lunches,Boards of Education,0,3,3,40.622777,-93.9341158,0,Lamoni,140,Health and Nutrition
Fifth,Decatur,Leon,Clerical Assistance,"Farm Security Administration, County",0,6,6,40.7403444,-93.7464099,0,Leon,141,Clerical
Fifth,Decatur,Leon,Workshop,Board of Supervisors,75,8,83,40.7403444,-93.7464099,0,Leon,142,Workshop
Fifth,Decatur,Leon,Sanitation (Constructing Latrine,Farm Security Administration,22,1,23,40.7403444,-93.7464099,0,Leon,143,Construction and Infrastructure
Fifth,Jasper,Colfax,Constructing Drainage Ditch,City,21,0,21,41.6777666,-93.245205,0,Colfax,144,Construction and Infrastructure
Fifth,Jasper,Monroe,Hot School Lunches,Board of Education,0,3,3,41.5222145,-93.1018684,0,Monroe,146,Health and Nutrition
Fifth,Jasper,Newton,Clerical Assistance,"State Employment Service, Board of Supervisors, Farm Security Administration, County Agent",0,15,15,41.6996927,-93.0537592,0,Newton,147,Clerical
Fifth,Jasper,Newton,Repairing & Installing Christmas Display,County Board of Supervisors,9,0,9,41.6996927,-93.0537592,0,Newton,148,Construction and Infrastructure
Fifth,Keokuk,Sigourney,Workshop,Board of Supervisors,49,0,49,41.3330461,-92.2048398,0,Sigourney,149,Workshop
Fifth,Keokuk,Sigourney,Sewing Room,Board of Supervisors,0,9,9,41.3330461,-92.2048398,0,Sigourney,150,Textiles
Fifth,Lucas,Chariton,Clerical Assistance,"State Employment Service, City, Farm Security Administration, County Agent, Agriculture Adjustment Administration, County Superintendent of Schools",3,30,33,41.0147507,-93.3072514,0,Chariton,151,Clerical
Fifth,Lucas,Chariton,Workshop,City,50,0,50,41.0147507,-93.3072514,0,Chariton,152,Workshop
Fifth,Lucas,Chariton,Street Improvement,City,43,0,43,41.0147507,-93.3072514,0,Chariton,153,Construction and Infrastructure
Fifth,Lucas,Chariton,Sanitation (Constructing Latrine,Farm Security Adminstration,11,0,11,41.0147507,-93.3072514,0,Chariton,154,Construction and Infrastructure
Fifth,Lucas,Russell,Improving Cemetary Drive,City,3,2,5,40.9819459,-93.19854,0,Russell,155,Construction and Infrastructure
Fifth,Mahaska,Oskaloosa,Hospital Assistance,County Hospital,0,15,15,41.2963365,-92.6449612,0,Oskaloosa,156,Health and Nutrition
Fifth,Mahaska,Oskaloosa,Constructing Shelter,State Conservation Commission,13,0,13,41.2963365,-92.6449612,0,Oskaloosa,157,Construction and Infrastructure
Fifth,Mahaska,Oskaloosa,Repairing Educational Buildings,Board of Education,10,0,10,41.2963365,-92.6449612,0,Oskaloosa,158,Construction and Infrastructure
Fifth,Mahaska,Oskaloosa,Park Improvement,Statet Conservation Commission,75,0,75,41.2963365,-92.6449612,0,Oskaloosa,159,Construction and Infrastructure
Fifth,Mahaska,Oskaloosa,Clerical Assistance,State Employment Service,1,1,2,41.2963365,-92.6449612,0,Oskaloosa,160,Clerical
Fifth,Monroe,Albia,Sidewalk Improvement,City,79,0,79,41.0266746,-92.8057514,0,Albia,161,Construction and Infrastructure
